shift_minutes,correlation
-1.000000000000000000e+01,6.983767228627477675e-01
-8.000000000000000000e+00,7.806259179001164838e-01
-6.000000000000000000e+00,8.630491371544475321e-01
-4.000000000000000000e+00,9.344833082556684989e-01
-2.000000000000000000e+00,9.830011102426174929e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.830011102426174929e-01
4.000000000000000000e+00,9.344833082556684989e-01
6.000000000000000000e+00,8.630491371544475321e-01
8.000000000000000000e+00,7.806259179001164838e-01
1.000000000000000000e+01,6.983767228627477675e-01
1.200000000000000000e+01,6.238344344977976297e-01
1.400000000000000000e+01,5.607932556549930503e-01
1.600000000000000000e+01,5.113151958470554259e-01
1.800000000000000000e+01,4.768358851806465681e-01
2.000000000000000000e+01,4.570766831669278440e-01
2.200000000000000000e+01,4.484125125755361041e-01
2.400000000000000000e+01,4.441453450326901531e-01
2.600000000000000000e+01,4.366569987075779036e-01
2.800000000000000000e+01,4.199822039093778492e-01
3.000000000000000000e+01,3.916709670917928876e-01
3.200000000000000000e+01,3.530952865396238538e-01
3.400000000000000000e+01,3.081603142142496088e-01
3.600000000000000000e+01,2.612601548036366239e-01
3.800000000000000000e+01,2.155767987996398682e-01
4.000000000000000000e+01,1.725064176568188168e-01
4.200000000000000000e+01,1.322863600145106344e-01
4.400000000000000000e+01,9.504879918814015949e-02
4.600000000000000000e+01,6.123721891848636634e-02
4.800000000000000000e+01,3.125427452837870046e-02
5.000000000000000000e+01,5.046332915819856310e-03
5.200000000000000000e+01,-1.814460889037387836e-02
5.400000000000000000e+01,-3.993632340438513229e-02
5.600000000000000000e+01,-6.246818583378690309e-02
5.800000000000000000e+01,-8.694461362307510932e-02
6.000000000000000000e+01,-1.115917365342486284e-01
6.200000000000000000e+01,-1.319610748375934228e-01
6.400000000000000000e+01,-1.444990318092216897e-01
6.600000000000000000e+01,-1.488294332559157440e-01
6.800000000000000000e+01,-1.467800795602946240e-01
7.000000000000000000e+01,-1.406718847515601167e-01
7.200000000000000000e+01,-1.320645577310527730e-01
7.400000000000000000e+01,-1.214672994744508405e-01
7.600000000000000000e+01,-1.093051833723653471e-01
7.800000000000000000e+01,-9.738686049438051440e-02
8.000000000000000000e+01,-8.989040739344203446e-02
8.200000000000000000e+01,-9.276629843479525239e-02
8.400000000000000000e+01,-1.109512548748064487e-01
8.600000000000000000e+01,-1.452542127679668504e-01
8.800000000000000000e+01,-1.911343879845591454e-01
9.000000000000000000e+01,-2.400284966169340395e-01
9.200000000000000000e+01,-2.835901948098707992e-01
9.400000000000000000e+01,-3.181123714125544955e-01
9.600000000000000000e+01,-3.451940874181997354e-01
9.800000000000000000e+01,-3.684251814373161737e-01
1.000000000000000000e+02,-3.892632348577508838e-01
1.020000000000000000e+02,-4.066775805592784399e-01
1.040000000000000000e+02,-4.203691232182191206e-01
1.060000000000000000e+02,-4.317739915486597524e-01
1.080000000000000000e+02,-4.423851375813340203e-01
1.100000000000000000e+02,-4.529647550303250170e-01
1.120000000000000000e+02,-4.639009694980709697e-01
1.140000000000000000e+02,-4.755166815843042682e-01
1.160000000000000000e+02,-4.881285366389859770e-01
1.180000000000000000e+02,-5.019871464921412674e-01
1.200000000000000000e+02,-5.171201351033453131e-01
1.220000000000000000e+02,-5.332678217196757942e-01
1.240000000000000000e+02,-5.500243391456978159e-01
1.260000000000000000e+02,-5.669993348515206533e-01
1.280000000000000000e+02,-5.838041126782753665e-01
1.300000000000000000e+02,-6.000057606102763286e-01
1.320000000000000000e+02,-6.152811875939918629e-01
1.340000000000000000e+02,-6.295498535193109202e-01
1.360000000000000000e+02,-6.428270256556704032e-01
1.380000000000000000e+02,-6.550312324416084353e-01
1.400000000000000000e+02,-6.659612189964150275e-01
1.420000000000000000e+02,-6.753101412797927194e-01
1.440000000000000000e+02,-6.826962756848321545e-01
1.460000000000000000e+02,-6.878185329403926351e-01
1.480000000000000000e+02,-6.905454729294838723e-01
1.500000000000000000e+02,-6.907954858225516803e-01
1.520000000000000000e+02,-6.884153580806926520e-01
1.540000000000000000e+02,-6.832179174112522624e-01
1.560000000000000000e+02,-6.751308333314766097e-01
1.580000000000000000e+02,-6.643116550558721967e-01
1.600000000000000000e+02,-6.511240000567761754e-01
1.620000000000000000e+02,-6.360653565473716187e-01
1.640000000000000000e+02,-6.197265780615484054e-01
1.660000000000000000e+02,-6.026368083647032359e-01
1.680000000000000000e+02,-5.849658625067885032e-01
1.700000000000000000e+02,-5.663510741876883747e-01
1.720000000000000000e+02,-5.459924952639234608e-01
1.740000000000000000e+02,-5.228561631598567239e-01
1.760000000000000000e+02,-4.958557010821619260e-01
1.780000000000000000e+02,-4.640571654038501692e-01
1.800000000000000000e+02,-4.267939213867896764e-01
1.820000000000000000e+02,-3.835662593320052771e-01
1.840000000000000000e+02,-3.339749734054091590e-01
1.860000000000000000e+02,-2.779230860958639693e-01
1.880000000000000000e+02,-2.158677182679270001e-01
1.900000000000000000e+02,-1.487663536828991717e-01
1.920000000000000000e+02,-7.780375281377246988e-02
1.940000000000000000e+02,-4.275481091609348826e-03
1.960000000000000000e+02,7.006374976416707145e-02
1.980000000000000000e+02,1.413230758133216802e-01
2.000000000000000000e+02,2.016168816392968632e-01
