shift_minutes,correlation
-6.000000000000000000e+01,nan
-5.800000000000000000e+01,nan
-5.600000000000000000e+01,nan
-5.400000000000000000e+01,nan
-5.200000000000000000e+01,nan
-5.000000000000000000e+01,nan
-4.800000000000000000e+01,nan
-4.600000000000000000e+01,nan
-4.400000000000000000e+01,nan
-4.200000000000000000e+01,nan
-4.000000000000000000e+01,nan
-3.800000000000000000e+01,nan
-3.600000000000000000e+01,nan
-3.400000000000000000e+01,nan
-3.200000000000000000e+01,4.931226524531938105e-01
-3.000000000000000000e+01,6.468821972184796154e-01
-2.800000000000000000e+01,7.646500301686656176e-01
-2.600000000000000000e+01,8.339647986944778157e-01
-2.400000000000000000e+01,8.691065855393930173e-01
-2.200000000000000000e+01,8.805514787658149656e-01
-2.000000000000000000e+01,8.758793802252360372e-01
-1.800000000000000000e+01,8.636903858279890711e-01
-1.600000000000000000e+01,8.522232034967874847e-01
-1.400000000000000000e+01,8.474079863662944412e-01
-1.200000000000000000e+01,8.530720953831970599e-01
-1.000000000000000000e+01,8.714110840126667590e-01
-8.000000000000000000e+00,9.014068825383264594e-01
-6.000000000000000000e+00,9.374159688617920150e-01
-4.000000000000000000e+00,9.706407751919460258e-01
-2.000000000000000000e+00,9.927666414879872114e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.927666414879872114e-01
4.000000000000000000e+00,9.706407751919460258e-01
6.000000000000000000e+00,9.374159688617920150e-01
8.000000000000000000e+00,9.014068825383264594e-01
1.000000000000000000e+01,8.714110840126667590e-01
1.200000000000000000e+01,8.530720953831970599e-01
1.400000000000000000e+01,8.474079863662944412e-01
1.600000000000000000e+01,8.522232034967874847e-01
1.800000000000000000e+01,8.636903858279890711e-01
2.000000000000000000e+01,8.758793802252360372e-01
2.200000000000000000e+01,8.805514787658149656e-01
2.400000000000000000e+01,8.691065855393930173e-01
2.600000000000000000e+01,8.339647986944778157e-01
2.800000000000000000e+01,7.646500301686656176e-01
3.000000000000000000e+01,6.468821972184796154e-01
3.200000000000000000e+01,4.931226524531938105e-01
3.400000000000000000e+01,nan
3.600000000000000000e+01,nan
3.800000000000000000e+01,nan
4.000000000000000000e+01,nan
4.200000000000000000e+01,nan
4.400000000000000000e+01,nan
4.600000000000000000e+01,nan
4.800000000000000000e+01,nan
5.000000000000000000e+01,nan
5.200000000000000000e+01,nan
5.400000000000000000e+01,nan
5.600000000000000000e+01,nan
5.800000000000000000e+01,nan
6.000000000000000000e+01,nan
