L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 1

cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        2              23       1   0.353  0.370   2899     1.000           0.0        88.5        88.5      29.3      29.3
        3              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        4              26       0   0.095  0.230   4390     1.414           0.7        91.5        92.2      34.9      49.4
        5              41       0   0.004  0.009     27     2.378           0.0       100.0       100.0      17.4      41.5
        6              29       0   0.000  0.003     64     4.757          16.4        86.4        70.0      24.7     117.4
        7              26       0   0.003  0.014    204     3.084           0.6        90.6        90.0      16.0      49.4
        8              41       0   0.023  0.043    102     1.834           0.0       100.0       100.0      22.6      41.5
        9              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       10              51       0   0.013  0.111    214     1.297           5.6        90.0        84.4      20.7      26.9
       11              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       12              26       0   0.012  0.033    486     1.834           0.4        90.4        90.0      26.9      49.4
       13              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       14              26       1   0.025  0.081   1240     1.091           2.0        99.2        97.2      34.9      32.0
       15              45       0   0.002  0.144    944     2.000          40.0       110.0        70.0      32.0      64.0
       16              33       1   0.073  0.108    901     1.189           0.2        99.9       100.1      29.3      24.7
       17              23       1   0.058  0.205   1784     1.091           2.2        87.2        84.9      32.0      29.3
       18              51       0   0.005  0.071    105     1.682           7.5        90.1        82.6      16.0      26.9
       19              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       20              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       21              45       0   0.001  0.037    207     1.189          50.0       120.0        70.0      58.7      69.8
       22              24       0   0.000  0.012    162     7.336           9.5        90.5       100.0      16.0     117.4
       23              23       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       24              45       0   0.001  0.097    492     2.378          35.5       105.6        70.1      26.9      64.0
       25              24       0   0.010  0.147   2083     2.378           5.0       100.7        95.7      49.4     117.4
