shift_minutes,correlation
-6.000000000000000000e+01,nan
-5.800000000000000000e+01,nan
-5.600000000000000000e+01,nan
-5.400000000000000000e+01,nan
-5.200000000000000000e+01,-4.295402236449546440e-01
-5.000000000000000000e+01,-2.349545824101195723e-02
-4.800000000000000000e+01,3.483655565838564838e-01
-4.600000000000000000e+01,5.652956864363615219e-01
-4.400000000000000000e+01,6.105447636011988033e-01
-4.200000000000000000e+01,5.279192511757747619e-01
-4.000000000000000000e+01,4.016200981018273608e-01
-3.800000000000000000e+01,3.126531409765614944e-01
-3.600000000000000000e+01,2.976452622485819544e-01
-3.400000000000000000e+01,3.623498456919828636e-01
-3.200000000000000000e+01,4.943769935154808670e-01
-3.000000000000000000e+01,6.479961435362013855e-01
-2.800000000000000000e+01,7.655147556401630249e-01
-2.600000000000000000e+01,8.345074771519481738e-01
-2.400000000000000000e+01,8.693535406468543281e-01
-2.200000000000000000e+01,8.805657095984098515e-01
-2.000000000000000000e+01,8.757003184858630496e-01
-1.800000000000000000e+01,8.633712913376097031e-01
-1.600000000000000000e+01,8.518636514951142269e-01
-1.400000000000000000e+01,8.471006188608084519e-01
-1.200000000000000000e+01,8.528176744430795431e-01
-1.000000000000000000e+01,8.711441292224522126e-01
-8.000000000000000000e+00,9.011148119176691784e-01
-6.000000000000000000e+00,9.371707103727464627e-01
-4.000000000000000000e+00,9.705072994808379150e-01
-2.000000000000000000e+00,9.927320536927425332e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.927320536927425332e-01
4.000000000000000000e+00,9.705072994808379150e-01
6.000000000000000000e+00,9.371707103727464627e-01
8.000000000000000000e+00,9.011148119176691784e-01
1.000000000000000000e+01,8.711441292224522126e-01
1.200000000000000000e+01,8.528176744430795431e-01
1.400000000000000000e+01,8.471006188608084519e-01
1.600000000000000000e+01,8.518636514951142269e-01
1.800000000000000000e+01,8.633712913376097031e-01
2.000000000000000000e+01,8.757003184858630496e-01
2.200000000000000000e+01,8.805657095984098515e-01
2.400000000000000000e+01,8.693535406468543281e-01
2.600000000000000000e+01,8.345074771519481738e-01
2.800000000000000000e+01,7.655147556401630249e-01
3.000000000000000000e+01,6.479961435362013855e-01
3.200000000000000000e+01,4.943769935154808670e-01
3.400000000000000000e+01,3.623498456919828636e-01
3.600000000000000000e+01,2.976452622485819544e-01
3.800000000000000000e+01,3.126531409765614944e-01
4.000000000000000000e+01,4.016200981018273608e-01
4.200000000000000000e+01,5.279192511757747619e-01
4.400000000000000000e+01,6.105447636011988033e-01
4.600000000000000000e+01,5.652956864363615219e-01
4.800000000000000000e+01,3.483655565838564838e-01
5.000000000000000000e+01,-2.349545824101195723e-02
5.200000000000000000e+01,-4.295402236449546440e-01
5.400000000000000000e+01,nan
5.600000000000000000e+01,nan
5.800000000000000000e+01,nan
6.000000000000000000e+01,nan
