shift_minutes,correlation
-6.000000000000000000e+01,nan
-5.800000000000000000e+01,nan
-5.600000000000000000e+01,nan
-5.400000000000000000e+01,nan
-5.200000000000000000e+01,nan
-5.000000000000000000e+01,nan
-4.800000000000000000e+01,nan
-4.600000000000000000e+01,nan
-4.400000000000000000e+01,nan
-4.200000000000000000e+01,nan
-4.000000000000000000e+01,nan
-3.800000000000000000e+01,nan
-3.600000000000000000e+01,nan
-3.400000000000000000e+01,nan
-3.200000000000000000e+01,4.941337721650171377e-01
-3.000000000000000000e+01,6.476243333551837678e-01
-2.800000000000000000e+01,7.651754344414418707e-01
-2.600000000000000000e+01,8.343346410532219704e-01
-2.400000000000000000e+01,8.693561121241102363e-01
-2.200000000000000000e+01,8.807250183313735103e-01
-2.000000000000000000e+01,8.760213258128058955e-01
-1.800000000000000000e+01,8.638325612179782453e-01
-1.600000000000000000e+01,8.523870014889131097e-01
-1.400000000000000000e+01,8.475986113913368536e-01
-1.200000000000000000e+01,8.532642647316912576e-01
-1.000000000000000000e+01,8.715668860993768252e-01
-8.000000000000000000e+00,9.015089964709526171e-01
-6.000000000000000000e+00,9.374701943953483996e-01
-4.000000000000000000e+00,9.706626587007064488e-01
-2.000000000000000000e+00,9.927718492501358405e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.927718492501358405e-01
4.000000000000000000e+00,9.706626587007064488e-01
6.000000000000000000e+00,9.374701943953483996e-01
8.000000000000000000e+00,9.015089964709526171e-01
1.000000000000000000e+01,8.715668860993768252e-01
1.200000000000000000e+01,8.532642647316912576e-01
1.400000000000000000e+01,8.475986113913368536e-01
1.600000000000000000e+01,8.523870014889131097e-01
1.800000000000000000e+01,8.638325612179782453e-01
2.000000000000000000e+01,8.760213258128058955e-01
2.200000000000000000e+01,8.807250183313735103e-01
2.400000000000000000e+01,8.693561121241102363e-01
2.600000000000000000e+01,8.343346410532219704e-01
2.800000000000000000e+01,7.651754344414418707e-01
3.000000000000000000e+01,6.476243333551837678e-01
3.200000000000000000e+01,4.941337721650171377e-01
3.400000000000000000e+01,nan
3.600000000000000000e+01,nan
3.800000000000000000e+01,nan
4.000000000000000000e+01,nan
4.200000000000000000e+01,nan
4.400000000000000000e+01,nan
4.600000000000000000e+01,nan
4.800000000000000000e+01,nan
5.000000000000000000e+01,nan
5.200000000000000000e+01,nan
5.400000000000000000e+01,nan
5.600000000000000000e+01,nan
5.800000000000000000e+01,nan
6.000000000000000000e+01,nan
