shift_minutes,correlation
-6.000000000000000000e+01,8.671041832898251922e-01
-5.800000000000000000e+01,8.719576106205155774e-01
-5.600000000000000000e+01,8.770731132871493196e-01
-5.400000000000000000e+01,8.824744767976223647e-01
-5.200000000000000000e+01,8.881488332549642983e-01
-5.000000000000000000e+01,8.940385047200759550e-01
-4.800000000000000000e+01,9.000508973106443600e-01
-4.600000000000000000e+01,9.060916352975596499e-01
-4.400000000000000000e+01,9.120906659049595744e-01
-4.200000000000000000e+01,9.180158701666485399e-01
-4.000000000000000000e+01,9.238749664453418387e-01
-3.800000000000000000e+01,9.296985338496357443e-01
-3.600000000000000000e+01,9.355178636028749217e-01
-3.400000000000000000e+01,9.413585259458768784e-01
-3.200000000000000000e+01,9.472409688463885313e-01
-3.000000000000000000e+01,9.531488398395974171e-01
-2.800000000000000000e+01,9.589738726871028796e-01
-2.600000000000000000e+01,9.645361859086233336e-01
-2.400000000000000000e+01,9.696804025408825023e-01
-2.200000000000000000e+01,9.743322139130423665e-01
-2.000000000000000000e+01,9.784911730970821120e-01
-1.800000000000000000e+01,9.821992397902691296e-01
-1.600000000000000000e+01,9.855094854992860753e-01
-1.400000000000000000e+01,9.884687858290214235e-01
-1.200000000000000000e+01,9.911158111122745362e-01
-1.000000000000000000e+01,9.934821863555467480e-01
-8.000000000000000000e+00,9.955785754087441708e-01
-6.000000000000000000e+00,9.973717125031693609e-01
-4.000000000000000000e+00,9.987792980149194921e-01
-2.000000000000000000e+00,9.996877446804304235e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.996877446804304235e-01
4.000000000000000000e+00,9.987792980149194921e-01
6.000000000000000000e+00,9.973717125031693609e-01
8.000000000000000000e+00,9.955785754087441708e-01
1.000000000000000000e+01,9.934821863555467480e-01
1.200000000000000000e+01,9.911158111122745362e-01
1.400000000000000000e+01,9.884687858290214235e-01
1.600000000000000000e+01,9.855094854992860753e-01
1.800000000000000000e+01,9.821992397902691296e-01
2.000000000000000000e+01,9.784911730970821120e-01
2.200000000000000000e+01,9.743322139130423665e-01
2.400000000000000000e+01,9.696804025408825023e-01
2.600000000000000000e+01,9.645361859086233336e-01
2.800000000000000000e+01,9.589738726871028796e-01
3.000000000000000000e+01,9.531488398395974171e-01
3.200000000000000000e+01,9.472409688463885313e-01
3.400000000000000000e+01,9.413585259458768784e-01
3.600000000000000000e+01,9.355178636028749217e-01
3.800000000000000000e+01,9.296985338496357443e-01
4.000000000000000000e+01,9.238749664453418387e-01
4.200000000000000000e+01,9.180158701666485399e-01
4.400000000000000000e+01,9.120906659049595744e-01
4.600000000000000000e+01,9.060916352975596499e-01
4.800000000000000000e+01,9.000508973106443600e-01
5.000000000000000000e+01,8.940385047200759550e-01
5.200000000000000000e+01,8.881488332549642983e-01
5.400000000000000000e+01,8.824744767976223647e-01
5.600000000000000000e+01,8.770731132871493196e-01
5.800000000000000000e+01,8.719576106205155774e-01
6.000000000000000000e+01,8.671041832898251922e-01
6.200000000000000000e+01,8.624709143804701883e-01
6.400000000000000000e+01,8.580400684470983474e-01
6.600000000000000000e+01,8.538433929807940359e-01
6.800000000000000000e+01,8.499531597051110943e-01
7.000000000000000000e+01,8.464627755147001720e-01
7.200000000000000000e+01,8.434669206139849829e-01
7.400000000000000000e+01,8.410485653148268570e-01
7.600000000000000000e+01,8.392673339800582610e-01
7.800000000000000000e+01,8.381505648932556785e-01
8.000000000000000000e+01,8.377124944834347664e-01
8.200000000000000000e+01,8.379920571209248381e-01
8.400000000000000000e+01,8.390570554701600736e-01
8.600000000000000000e+01,8.409773453490387851e-01
8.800000000000000000e+01,8.437958391864326391e-01
9.000000000000000000e+01,8.475006344027886662e-01
9.200000000000000000e+01,8.520439993880725149e-01
9.400000000000000000e+01,8.573974759803641987e-01
9.600000000000000000e+01,8.635473255261427727e-01
9.800000000000000000e+01,8.704361695857698589e-01
1.000000000000000000e+02,8.779248787896432038e-01
1.020000000000000000e+02,8.858035114507289975e-01
1.040000000000000000e+02,8.938353311283573355e-01
1.060000000000000000e+02,9.018024196238486612e-01
1.080000000000000000e+02,9.095439307564503473e-01
1.100000000000000000e+02,9.169679781377949590e-01
1.120000000000000000e+02,9.240184303989668058e-01
1.140000000000000000e+02,9.306345150788809528e-01
1.160000000000000000e+02,9.367391474323605305e-01
1.180000000000000000e+02,9.422497703385668277e-01
1.200000000000000000e+02,9.471048832132873407e-01
1.220000000000000000e+02,9.512910743844846806e-01
1.240000000000000000e+02,9.548213065490294138e-01
1.260000000000000000e+02,9.576740576692840401e-01
1.280000000000000000e+02,9.597884464927834980e-01
1.300000000000000000e+02,9.611166718074908299e-01
1.320000000000000000e+02,9.616562271416159158e-01
1.340000000000000000e+02,9.614645620466647502e-01
1.360000000000000000e+02,9.606388535552154995e-01
1.380000000000000000e+02,9.592519133142398680e-01
1.400000000000000000e+02,9.573563273814369445e-01
1.420000000000000000e+02,9.550378050650055739e-01
1.440000000000000000e+02,9.524006221455979526e-01
1.460000000000000000e+02,9.495252167209639049e-01
1.480000000000000000e+02,9.464518513316929615e-01
1.500000000000000000e+02,9.431943925068351220e-01
1.520000000000000000e+02,9.397884303551715668e-01
1.540000000000000000e+02,9.363124814625392034e-01
1.560000000000000000e+02,9.328201578671621030e-01
1.580000000000000000e+02,9.292829343746923376e-01
1.600000000000000000e+02,9.256599099892107718e-01
1.620000000000000000e+02,9.219991178109931962e-01
1.640000000000000000e+02,9.184293841162256555e-01
1.660000000000000000e+02,9.150340624274847512e-01
1.680000000000000000e+02,9.117618391601578498e-01
1.700000000000000000e+02,9.085433445580634038e-01
1.720000000000000000e+02,9.054218538810041572e-01
1.740000000000000000e+02,9.024804036408216046e-01
1.760000000000000000e+02,8.997900835780759943e-01
1.780000000000000000e+02,8.975157030256323276e-01
1.800000000000000000e+02,8.959108413298639828e-01
1.820000000000000000e+02,8.951326404890868060e-01
1.840000000000000000e+02,8.951465964292972810e-01
1.860000000000000000e+02,8.958509476959464202e-01
1.880000000000000000e+02,8.972796310681672161e-01
1.900000000000000000e+02,8.995931884239072307e-01
1.920000000000000000e+02,9.028198459902559980e-01
1.940000000000000000e+02,9.066986779142549580e-01
1.960000000000000000e+02,9.107489139418690760e-01
1.980000000000000000e+02,9.144516366863751911e-01
2.000000000000000000e+02,9.174708061259952974e-01
